Product ID,Product URL,URL Scraped At,Status,Productid,SKU,Name,Description,Price (Retail),Price (Medium),Price (Large),Image URL,Detail URL,Detail Scraped At
1,https://www.prestigeflowers.co.uk/christmas-flowers/merry-christmas,2025-12-10 13:44:22,processed,NF2012,NF2012,Merry Christmas,"Our best-selling Merry Christmas bouquet is the perfect way to make their day extraordinary this holiday season! This delightful floral arrangement features the timeless charm of beautiful red Rhodos roses paired with vibrant oriental lilies, finished off beautifully with red hypericum berries, fresh green foliage and a decorative Merry Christmas pick. Handcrafted by our skilled florists with meticulous attention to detail, this exquisite bouquet truly captivates the charm of the Christmas season! 

Whether you're looking for a meaningful present for a loved one or seeking to adorn your home with festive decor, this extraordinary bouquet will add a festive and fragrant touch to any space. Why not include a personalised card to send your warm wishes this festive season?",26.99,,31.99,https://www.prestigeflowers.co.uk/images/products/1fea25cdf5823e6d28a7aae6629e02fc.jpg,https://www.prestigeflowers.co.uk/christmas-flowers/merry-christmas,2025-12-10 13:46:59
2,https://www.prestigeflowers.co.uk/christmas-flowers/happy-christmas,2025-12-10 13:44:22,processed,,,,,,,,,https://www.prestigeflowers.co.uk/christmas-flowers/happy-christmas,2025-12-10 13:47:07
3,https://www.prestigeflowers.co.uk/christmas-flowers/festivity,2025-12-10 13:44:22,processed,986,NF2011,Festivity,"Our festivity bouquet is a must have this holiday season, each stem meticulously hand-picked to create it’s charming crimson allure. Brimming with exquisite red Rhodos roses, red Geminis, and Carnations, this stunning arrangement is a true tribute to the Christmas season. Paired with hypericum berries, luscious green foliage and novelty cinnamon sticks and pine cones, this bouquet makes the perfect gift for everyone on your list! Why not include a personalised card to send your warm wishes this festive season?",29.99,,34.989999999999995,https://www.prestigeflowers.co.uk/images/products/647174e1265376017e1334a9e4957f62.jpg,https://www.prestigeflowers.co.uk/christmas-flowers/festivity,2025-12-10 15:02:09
4,https://www.prestigeflowers.co.uk/christmas-flowers/festive-rose-freesia,2025-12-10 13:44:22,processed,,,,,,,,,https://www.prestigeflowers.co.uk/christmas-flowers/festive-rose-freesia,2025-12-10 15:02:17
5,https://www.prestigeflowers.co.uk/christmas-flowers/christmas-rose-and-lily,2025-12-10 13:44:22,pending,,,,,,,,,,
6,https://www.prestigeflowers.co.uk/christmas-flowers/christmas-florists-choice,2025-12-10 13:44:22,pending,,,,,,,,,,
7,https://www.prestigeflowers.co.uk/christmas-flowers/noel-bouquet,2025-12-10 13:44:22,pending,,,,,,,,,,
8,https://www.prestigeflowers.co.uk/christmas-flowers/blitzen,2025-12-10 13:44:22,pending,,,,,,,,,,
9,https://www.prestigeflowers.co.uk/christmas-flowers/winter-warmer,2025-12-10 13:44:22,pending,,,,,,,,,,
10,https://www.prestigeflowers.co.uk/christmas-flowers/christmas-tulips,2025-12-10 13:44:22,pending,,,,,,,,,,
